x,y,f
-10.24,-10.24,1.75529e+09
-10.24,-10.0331,1.62824e+09
-10.24,-9.82626,1.51689e+09
-10.24,-9.61939,1.4195e+09
-10.24,-9.41253,1.33449e+09
-10.24,-9.20566,1.26044e+09
-10.24,-8.99879,1.19605e+09
-10.24,-8.79192,1.14017e+09
-10.24,-8.58505,1.09177e+09
-10.24,-8.37818,1.04991e+09
-10.24,-8.17131,1.01377e+09
-10.24,-7.96444,9.8261e+08
-10.24,-7.75758,9.55768e+08
-10.24,-7.55071,9.32665e+08
-10.24,-7.34384,9.12787e+08
-10.24,-7.13697,8.95679e+08
-10.24,-6.9301,8.80945e+08
-10.24,-6.72323,8.68236e+08
-10.24,-6.51636,8.57248e+08
-10.24,-6.30949,8.47717e+08
-10.24,-6.10263,8.39415e+08
-10.24,-5.89576,8.32145e+08
-10.24,-5.68889,8.25737e+08
-10.24,-5.48202,8.20046e+08
-10.24,-5.27515,8.1495e+08
-10.24,-5.06828,8.10344e+08
-10.24,-4.86141,8.0614e+08
-10.24,-4.65455,8.02265e+08
-10.24,-4.44768,7.98657e+08
-10.24,-4.24081,7.95267e+08
-10.24,-4.03394,7.92051e+08
-10.24,-3.82707,7.88977e+08
-10.24,-3.6202,7.86016e+08
-10.24,-3.41333,7.83147e+08
-10.24,-3.20646,7.80352e+08
-10.24,-2.9996,7.77617e+08
-10.24,-2.79273,7.7493e+08
-10.24,-2.58586,7.72284e+08
-10.24,-2.37899,7.69672e+08
-10.24,-2.17212,7.67088e+08
-10.24,-1.96525,7.6453e+08
-10.24,-1.75838,7.61994e+08
-10.24,-1.55152,7.59478e+08
-10.24,-1.34465,7.56981e+08
-10.24,-1.13778,7.54501e+08
-10.24,-0.930909,7.52038e+08
-10.24,-0.72404,7.49591e+08
-10.24,-0.517172,7.4716e+08
-10.24,-0.310303,7.44745e+08
-10.24,-0.103434,7.42344e+08
-10.24,0.103434,7.39959e+08
-10.24,0.310303,7.37589e+08
-10.24,0.517172,7.35234e+08
-10.24,0.72404,7.32893e+08
-10.24,0.930909,7.30569e+08
-10.24,1.13778,7.28259e+08
-10.24,1.34465,7.25966e+08
-10.24,1.55152,7.2369e+08
-10.24,1.75838,7.21431e+08
-10.24,1.96525,7.1919e+08
-10.24,2.17212,7.16969e+08
-10.24,2.37899,7.14771e+08
-10.24,2.58586,7.12597e+08
-10.24,2.79273,7.10451e+08
-10.24,2.9996,7.08337e+08
-10.24,3.20646,7.06261e+08
-10.24,3.41333,7.04231e+08
-10.24,3.6202,7.02255e+08
-10.24,3.82707,7.00345e+08
-10.24,4.03394,6.98516e+08
-10.24,4.24081,6.96787e+08
-10.24,4.44768,6.9518e+08
-10.24,4.65455,6.93722e+08
-10.24,4.86141,6.92449e+08
-10.24,5.06828,6.91403e+08
-10.24,5.27515,6.90633e+08
-10.24,5.48202,6.90201e+08
-10.24,5.68889,6.90178e+08
-10.24,5.89576,6.90653e+08
-10.24,6.10263,6.91726e+08
-10.24,6.30949,6.93518e+08
-10.24,6.51636,6.96171e+08
-10.24,6.72323,6.9985e+08
-10.24,6.9301,7.04747e+08
-10.24,7.13697,7.11083e+08
-10.24,7.34384,7.19117e+08
-10.24,7.55071,7.29141e+08
-10.24,7.75758,7.41495e+08
-10.24,7.96444,7.56564e+08
-10.24,8.17131,7.74787e+08
-10.24,8.37818,7.96662e+08
-10.24,8.58505,8.22753e+08
-10.24,8.79192,8.53697e+08
-10.24,8.99879,8.90208e+08
-10.24,9.20566,9.33091e+08
-10.24,9.41253,9.83244e+08
-10.24,9.61939,1.04167e+09
-10.24,9.82626,1.1095e+09
-10.24,10.0331,1.18796e+09
-10.24,10.24,1.27845e+09
-10.0331,-10.24,1.62824e+09
-10.0331,-10.0331,1.50185e+09
-10.0331,-9.82626,1.39114e+09
-10.0331,-9.61939,1.29435e+09
-10.0331,-9.41253,1.20992e+09
-10.0331,-9.20566,1.13641e+09
-10.0331,-8.99879,1.07255e+09
-10.0331,-8.79192,1.01718e+09
-10.0331,-8.58505,9.69267e+08
-10.0331,-8.37818,9.2788e+08
-10.0331,-8.17131,8.92192e+08
-10.0331,-7.96444,8.61467e+08
-10.0331,-7.75758,8.35049e+08
-10.0331,-7.55071,8.12356e+08
-10.0331,-7.34384,7.92876e+08
-10.0331,-7.13697,7.76156e+08
-10.0331,-6.9301,7.618e+08
-10.0331,-6.72323,7.4946e+08
-10.0331,-6.51636,7.38833e+08
-10.0331,-6.30949,7.29656e+08
-10.0331,-6.10263,7.21701e+08
-10.0331,-5.89576,7.14771e+08
-10.0331,-5.68889,7.08698e+08
-10.0331,-5.48202,7.03338e+08
-10.0331,-5.27515,6.98567e+08
-10.0331,-5.06828,6.94282e+08
-10.0331,-4.86141,6.90396e+08
-10.0331,-4.65455,6.86835e+08
-10.0331,-4.44768,6.83538e+08
-10.0331,-4.24081,6.80455e+08
-10.0331,-4.03394,6.77545e+08
-10.0331,-3.82707,6.74774e+08
-10.0331,-3.6202,6.72114e+08
-10.0331,-3.41333,6.69544e+08
-10.0331,-3.20646,6.67045e+08
-10.0331,-2.9996,6.64605e+08
-10.0331,-2.79273,6.62211e+08
-10.0331,-2.58586,6.59857e+08
-10.0331,-2.37899,6.57534e+08
-10.0331,-2.17212,6.55239e+08
-10.0331,-1.96525,6.52968e+08
-10.0331,-1.75838,6.50718e+08
-10.0331,-1.55152,6.48487e+08
-10.0331,-1.34465,6.46273e+08
-10.0331,-1.13778,6.44075e+08
-10.0331,-0.930909,6.41893e+08
-10.0331,-0.72404,6.39726e+08
-10.0331,-0.517172,6.37574e+08
-10.0331,-0.310303,6.35435e+08
-10.0331,-0.103434,6.33311e+08
-10.0331,0.103434,6.312e+08
-10.0331,0.310303,6.29104e+08
-10.0331,0.517172,6.27021e+08
-10.0331,0.72404,6.24952e+08
-10.0331,0.930909,6.22898e+08
-10.0331,1.13778,6.20858e+08
-10.0331,1.34465,6.18832e+08
-10.0331,1.55152,6.16823e+08
-10.0331,1.75838,6.14829e+08
-10.0331,1.96525,6.12852e+08
-10.0331,2.17212,6.10895e+08
-10.0331,2.37899,6.08958e+08
-10.0331,2.58586,6.07044e+08
-10.0331,2.79273,6.05156e+08
-10.0331,2.9996,6.033e+08
-10.0331,3.20646,6.01479e+08
-10.0331,3.41333,5.99703e+08
-10.0331,3.6202,5.97978e+08
-10.0331,3.82707,5.96318e+08
-10.0331,4.03394,5.94737e+08
-10.0331,4.24081,5.93253e+08
-10.0331,4.44768,5.91889e+08
-10.0331,4.65455,5.90671e+08
-10.0331,4.86141,5.89635e+08
-10.0331,5.06828,5.88822e+08
-10.0331,5.27515,5.88282e+08
-10.0331,5.48202,5.88076e+08
-10.0331,5.68889,5.88275e+08
-10.0331,5.89576,5.88965e+08
-10.0331,6.10263,5.90249e+08
-10.0331,6.30949,5.92247e+08
-10.0331,6.51636,5.95098e+08
-10.0331,6.72323,5.98968e+08
-10.0331,6.9301,6.04048e+08
-10.0331,7.13697,6.10559e+08
-10.0331,7.34384,6.18757e+08
-10.0331,7.55071,6.28936e+08
-10.0331,7.75758,6.41432e+08
-10.0331,7.96444,6.56631e+08
-10.0331,8.17131,6.7497e+08
-10.0331,8.37818,6.96946e+08
-10.0331,8.58505,7.23122e+08
-10.0331,8.79192,7.54133e+08
